,cost,reduced_scenario_5,probability_5,reduced_scenario_10,probability_10,reduced_scenario_15,probability_15,reduced_scenario_20,probability_20,reduced_scenario_30,probability_30
466,19449755.13187941,269.0,0.0,269.0,0.0,269.0,0.0,269.0,0.0,166.0,0.0
467,19658621.33263555,95.0,0.0,95.0,0.0,95.0,0.0,450.0,0.0,450.0,0.0
468,19586127.1780292,269.0,0.0,269.0,0.0,329.0,0.0,329.0,0.0,329.0,0.0
469,19119769.840482354,314.0,0.0,314.0,0.0,314.0,0.0,314.0,0.0,17.0,0.0
470,19178704.10408247,314.0,0.0,181.0,0.0,181.0,0.0,181.0,0.0,181.0,0.0
471,18459517.014936257,139.0,0.0,204.0,0.0,204.0,0.0,204.0,0.0,457.0,0.0
472,18878283.830586158,139.0,0.0,139.0,0.0,104.0,0.0,104.0,0.0,20.0,0.0
473,19262695.131018247,314.0,0.0,420.0,0.0,196.0,0.0,196.0,0.0,196.0,0.0
474,18789492.48411579,139.0,0.0,139.0,0.0,139.0,0.0,139.0,0.0,139.0,0.0
475,19728580.320478495,95.0,0.0,95.0,0.0,95.0,0.0,95.0,0.0,95.0,0.0
476,19052403.0914514,314.0,0.0,314.0,0.0,314.0,0.0,314.0,0.0,314.0,0.0
477,19349280.573904425,269.0,0.0,420.0,0.0,420.0,0.0,165.0,0.0,19.0,0.0
478,19112995.995780464,314.0,0.0,314.0,0.0,314.0,0.0,314.0,0.0,17.0,0.0
479,19291375.088226184,269.0,0.0,420.0,0.0,420.0,0.0,420.0,0.0,420.0,0.0
480,19972038.691751916,212.0,0.0,212.0,0.0,212.0,0.0,212.0,0.0,212.0,0.0
481,19858965.056892246,212.0,0.0,97.0,0.0,97.0,0.0,328.0,0.0,328.0,0.0
482,19379362.41861227,269.0,0.0,420.0,0.0,420.0,0.0,165.0,0.0,165.0,0.0
483,19826670.087818816,95.0,0.0,97.0,0.0,97.0,0.0,97.0,0.0,97.0,0.0
484,19079861.78541496,314.0,0.0,314.0,0.0,314.0,0.0,314.0,0.0,314.0,0.0
485,19883239.51132353,212.0,0.0,97.0,0.0,97.0,0.0,328.0,0.0,328.0,0.0
486,19647669.247195974,95.0,0.0,95.0,0.0,95.0,0.0,450.0,0.0,450.0,0.0
487,18871742.484140985,139.0,0.0,139.0,0.0,104.0,0.0,104.0,0.0,20.0,0.0
488,20021858.69959523,212.0,0.0,212.0,0.0,212.0,0.0,212.0,0.0,212.0,0.0
489,19879026.957700722,212.0,0.0,97.0,0.0,97.0,0.0,328.0,0.0,328.0,0.0
490,19458985.105089825,269.0,0.0,269.0,0.0,269.0,0.0,269.0,0.0,166.0,0.0
491,19661475.79743209,95.0,0.0,95.0,0.0,95.0,0.0,450.0,0.0,450.0,0.0
492,19560973.72059364,269.0,0.0,269.0,0.0,329.0,0.0,329.0,0.0,329.0,0.0
493,20130175.27756941,212.0,0.0,212.0,0.0,81.0,0.0,81.0,0.0,81.0,0.0
494,19416293.576139987,269.0,0.0,269.0,0.0,269.0,0.0,165.0,0.0,166.0,0.0
495,18567251.877902407,139.0,0.0,204.0,0.0,204.0,0.0,204.0,0.0,204.0,0.0
496,18881405.726496767,139.0,0.0,139.0,0.0,104.0,0.0,104.0,0.0,20.0,0.0
497,18976643.106237642,314.0,0.0,314.0,0.0,104.0,0.0,104.0,0.0,248.0,0.0
498,20233932.844739344,212.0,0.0,429.0,0.0,429.0,0.0,429.0,0.0,429.0,0.0
499,19674289.068936877,95.0,0.0,95.0,0.0,95.0,0.0,450.0,0.0,450.0,0.0
